name,sku,tagId,description,category,quantity,threshold,location.warehouseId,location.zoneId,location.shelfId,location.binId,status,inventoryStatus,price.cost,price.retail,companyId,isActive,createdBy,updatedBy,createdAt,updatedAt,saleDate
Care F,SKU0011,TAG0011,Good when draw.,Clothing,60,9,73abc97a826bb5ac7090bcd0,92c5e90654fcca0cb98411bc,bd938f203a317a2fc603e365,080d45b197fedfd0f60d2daf,Available,sale,232.91,689.88,94fc6c5944dc1a35d16f2f8f,True,8299843e3465bba3b502db01,371e99229384dea96d385e47,2025-04-24T00:22:15,2025-06-21T07:56:07,2025-07-09T06:46:07
After A,SKU0012,TAG0012,Anyone PM one song person.,Clothing,79,4,2209938a513f05a35a4d3f79,750279bd3ca66d9f92d009cb,7b742d85cf5425480faa1095,47e761d97ed523de40da57ea,Available,sale,38.58,593.72,5c7384d0c9fd5d138ea1b106,True,003d95bd005768fdd946571f,4055ec3abb3909fb4fcd31ec,2025-05-19T00:59:43,2025-06-21T17:18:31,2025-07-12T20:25:05
Discover T,SKU0013,TAG0013,Especially you difficult leg guess treat.,Stationery,60,3,aaddc1406347cd5ed1239b33,414003ffa1d619d20bda0b28,56859fb49f026f10e2442940,8abd56f7503db37f587d8027,Available,sale,429.35,664.17,e2c73952cc64d705f18a91c7,False,34601f41631eb2ae532a5fe6,e0a31db4bc91c2b6f73b2eba,2025-05-08T20:56:22,2025-06-22T05:04:51,2025-07-16T16:26:21
Section N,SKU0014,TAG0014,Get candidate always investment identify.,Clothing,100,8,9e5aee1ff24416a75bb5ef41,8b7d2d0170503cce7904c009,6d83efed2fdb219fca6c0666,09c952f5a12028954fc9b667,Available,sale,39.12,616.62,22a1753d25e22a303a76778a,True,8f86ce723d2e7cdc50b20399,09edd12d75cf687839e28b55,2025-06-14T20:46:28,2025-07-10T05:38:33,2025-07-15T12:45:25
Television Q,SKU0015,TAG0015,Price wind relationship thousand before see.,Clothing,11,8,cd19a4d3c5257725fa8643df,6608418930068aeb0deae8c6,4d21165512f2315e03d54075,a97ef20138e617d0a99509fd,Available,sale,475.18,798.96,43caf67f858fb5d260d16006,True,e016f99bb4bebf38c05e7eaa,cbb9245e2b3489aa292d7a2f,2025-04-25T23:45:12,2025-07-07T07:41:03,2025-07-17T06:55:59
Whole J,SKU0016,TAG0016,Four statement worry.,Accessories,17,4,48492ff0ad9d32df657525a8,250928167c7b697a33508b52,4c44777a020182853e8a9ee5,7f531c8d62260989cf2490d4,Available,sale,55.79,827.97,f2223d10af1d4cf3d7fac47e,True,ce2bee9894613cee53a486df,37d738132d515b60d364c5b1,2025-06-06T10:49:54,2025-07-04T15:11:04,2025-07-12T01:42:54
School P,SKU0017,TAG0017,Human assume them language discussion one stock lay.,Furniture,29,9,040d29b4a2801f65a19f9a27,7302a30b5d64495323f1e3e7,96cae92a0b6ac974495c63be,42c75da259b08696f9d7997b,Available,sale,471.85,781.6,f324a8eaa4f2be98a4e99cdc,False,9d3b42c486fc88e33578de3e,bfb843b0b417b2b350853199,2025-05-16T00:41:40,2025-07-02T01:27:18,2025-07-12T20:43:07
Discuss E,SKU0018,TAG0018,Bar capital true instead sing dog.,Clothing,68,3,e21be9c76b66162898163eed,c51c4dd14cf7591eb714d39e,989d845c8672b65a51866190,97191261a7b058de426261af,Available,sale,442.33,580.53,ad16c1bd0c7fcd04b3102c2f,True,245096ed7d3d165f01d3ecde,e7a8d3aa2be1a95010e09f56,2025-05-11T17:16:54,2025-06-21T23:53:39,2025-07-14T22:15:19
Season V,SKU0019,TAG0019,Our morning his.,Furniture,100,4,1f48d1f14999bd3eed946b69,bd640faac4baa669b03dc255,98c35239fa1ea91660a916ba,65a32d605ede3c9c7c0b080a,Available,sale,357.31,885.64,bf2388c6a76918a403e28bb0,True,af55bdbbbf61f74440001949,580b6017b8a35564fccecefe,2025-05-07T05:37:40,2025-07-06T06:14:33,2025-07-15T12:23:49
Note I,SKU0020,TAG0020,When past how fine detail husband.,Stationery,25,6,f932206c0454e45337f89499,e624229c86d5bf632180550b,67e126d05b827593c06768a2,d02cef09e6b6524148f7ed57,Available,sale,463.09,883.21,53959f3048ef9f88ea051846,False,68b4e631b545b759d6f322c0,a416f455d218c632f0829ece,2025-05-17T04:55:19,2025-07-02T21:20:22,2025-07-12T03:58:15
Peace K,SKU0021,TAG0021,Open billion anyone hope us conference.,Clothing,41,2,329b3ce48ef321fd729c8847,36f02ba69d53aa66c6aa834a,43a5f2edc67b8a6210eb2f60,eb612ccefe61502bfc2183f6,Available,sale,41.29,623.37,41d8ceb0d621d493dcad38a4,True,89c6e90a28b5b69d281032ca,4a8b3d5010a01841dba8331d,2025-06-05T21:34:32,2025-07-11T10:03:13,2025-07-14T22:20:20
Short W,SKU0022,TAG0022,Simple coach whole scientist decision some.,Stationery,37,2,5d0c2b20db74d2aa81c7bd02,8be4ea34d182f71161053aca,cd0c6bb2a0f2abf73eb03433,35b64085d240aa1b0bf24702,Available,sale,262.91,858.87,120e390954b7c7c654f54eb4,True,79c8ab25cc3eefaf1fc6827b,5054d6451e56829226441ae4,2025-05-24T17:41:25,2025-07-07T07:30:34,2025-07-13T11:38:48
Everything N,SKU0023,TAG0023,Trouble pressure order it worker them without.,Furniture,37,4,ad86dba61f4b34d239e7da9f,7579a33422f89ee04a4a1669,3c85e4ff6a6f3d96ddb92a70,6046a01b96e6040b81995a74,Available,sale,169.09,958.12,61c6ef11c6c60e9a3d30adc0,False,4397f94fefec53ec45939dbc,e42b21369b59ad122190f125,2025-05-25T23:17:34,2025-06-23T02:45:00,2025-07-15T18:27:09
Ahead K,SKU0024,TAG0024,Know answer decade fill approach effect break drug.,Accessories,8,10,23989ad3d7527eafab03b2cc,f3d7c32670a62f2ac9bb2c2b,4d758e81a878e71e81406a4b,b974585e96033d233ec30a8d,Low Stock,sale,463.44,850.27,5c4b55ba053f57f79413fd3e,False,8821e68b4b2d94e4eb6474f3,b0e5cc9c7e1ccb3342683fe3,2025-05-02T15:21:09,2025-06-25T17:49:37,2025-07-11T16:04:27
Hour V,SKU0025,TAG0025,Learn with science second establish produce.,Furniture,34,3,142e32a3046d91ae1c9bb9c9,053d9983d0276b4c4b07a66a,795cac57496f7e992b5fc4f0,6cb2fb711a646a7920c7287c,Available,sale,273.48,521.81,8137819300bc7b6088423b7f,False,0237926956d2f0ad4f2ca5f9,1df4443e5b824c42f662ff41,2025-04-26T07:26:56,2025-07-04T10:00:13,2025-07-10T03:59:19
Avoid X,SKU0026,TAG0026,Security arm language position Mrs soldier mention study.,Accessories,40,6,2a08b97a58a044d860226161,40ab12265fb70c5c4b87dfba,bd29d45d2dd38f3bdf47c45c,c2284107f0822f5525e78ae0,Available,sale,304.92,679.08,e34bf16e522532415ab4140b,True,67a0dcabb0c75ab485ec8f56,af362cc7ee3fda7d6a49820f,2025-05-25T12:16:03,2025-07-09T02:32:39,2025-07-11T17:08:21
Star U,SKU0027,TAG0027,Nearly model fish by when conference senior.,Furniture,46,8,da1f6c24ebbe083b27251daa,53824b157e4c8f98a4852b25,4d00df48d8f69f59fa88afda,f5ae5e5f6ca682c9a978a9d6,Available,sale,83.97,517.27,fb385fe74723ce2b988a3662,False,6001bc7dbad7bdd2a3f69d7a,cf4dcbd71b7feca0b632a716,2025-05-18T00:47:43,2025-07-04T13:13:18,2025-07-11T14:48:43
Or O,SKU0028,TAG0028,Seven include office but challenge food.,Electronics,75,7,56204401c3c806bb1310ced7,b713f6aeaa5b8600a6725717,712fc7223d60aabab82e3543,c266448c41efd8eb61da3d7f,Available,sale,427.6,657.14,100586354dba8cafc54a4fe9,True,3ff5da938442d4ce628ef21d,eb23043668e707b87f978a56,2025-05-15T20:45:52,2025-07-12T08:27:41,2025-07-15T19:07:18
Evening W,SKU0029,TAG0029,Series really glass.,Electronics,88,8,1169d223e084d461d4e5abb3,10ba2a8d3efdcf2d089ea5ad,2b6d4bfe2d9f127e1734d6f3,f37896ddf3026dbd827eab1b,Available,sale,442.33,541.31,84f01caf8bd9209894b1787d,False,5c050eb2cc2cea5ef2a8b620,7a4889a6e4279ad68f9040c7,2025-06-09T15:06:27,2025-07-15T13:02:42,2025-07-13T03:26:43
Person S,SKU0030,TAG0030,Weight himself trade water may source say.,Stationery,6,5,c2d4fa8d37f887aad9684a4b,0429060f2a9519fdf45496c3,924625515b8ab9fbf9e559a5,582f5be8720c967d2c954361,Available,sale,484.32,681.12,b34c5d38df9651277035524f,False,150379d1775c348bc59dd33a,453d208ac87978e84d48e0aa,2025-05-26T05:57:19,2025-07-14T18:56:01,2025-07-16T23:23:54
Fight G,SKU0031,TAG0031,Building Democrat people pick reach society.,Accessories,18,10,8cefa04921b0d80da8a6cbbc,c22b22589125744f99dec1b0,ea6f5deebfc334688d783cce,76d124f93b7b68fbb6db0ca9,Available,sale,472.44,694.41,f59e991402e477403b4971ee,True,ad59550c19372f66e47270e8,c84282cf9a392e44c32b1099,2025-06-03T14:20:41,2025-07-09T19:54:20,2025-07-13T11:21:24
Idea K,SKU0032,TAG0032,Important section hand improve.,Accessories,6,2,0ba1f5a00565d867c5683c17,bc90bd7da84e86da7709cc06,b97983bfd5d07e02405dc1c6,d2461abeff126f3ef233d395,Available,sale,157.9,843.8,66bc436a3ac094cef3380074,False,1013dd1bac59ea08f7728607,520d73592a1e5ba4a398fd97,2025-04-23T18:00:03,2025-07-14T14:46:23,2025-07-15T01:00:14
But F,SKU0033,TAG0033,Present help step consumer picture maybe although.,Electronics,95,7,37088acf31da5e1fd57f2ef3,1a9d62885a8920f828974bee,3de7e6076a232e5f6a9c01c4,d2ff1094b87358afcf8baa97,Available,sale,286.21,860.49,1ec213b32c045c2a69565909,False,a882acc4635f639770a91bbc,2debbd4825a6935d88878d47,2025-04-23T05:13:50,2025-06-27T10:53:14,2025-07-12T22:10:50
Make A,SKU0034,TAG0034,Less born mind traditional ready.,Furniture,87,8,be8bbfb4c69539ef815d9321,b2362c2983252ca3b634cf0f,70b64160bfd16068faf6b19e,32437220d65d91b5e0fc85d0,Available,sale,332.62,514.77,4a0b565787e77cfbd9c0675e,True,b729d9ee5e23f4d7b46d478a,5197e4dc8e5b4d4168dfcd4c,2025-06-15T16:48:25,2025-07-06T01:35:39,2025-07-13T05:32:54
Gas Y,SKU0035,TAG0035,Employee friend nearly land course.,Accessories,84,3,cbf0934ae49f3846d1aa12a3,45a439753c8f90d7ea288b33,f77106e4a084058953f33e98,cf50793b55710ce3b0aef07d,Available,sale,478.51,774.81,9a6893eb11f2fde2e8613f39,True,5623276d431c632ac50da360,34a9eed25e260cfd010de4b8,2025-04-27T09:45:05,2025-07-15T14:59:21,2025-07-17T05:54:08
Man K,SKU0036,TAG0036,Around party war air keep gun.,Electronics,25,2,c058988e9a336d9855bae885,9b217d768a0623bbefc260fe,36521ad3753d06a6946ab631,f11f4f98a31dd9ae4bebe1af,Available,sale,483.8,915.59,70ce38d407dcba1b111ab57c,False,bf60767b0f51e447d9b6c7fd,c6e03a19bf0fd6331d76d509,2025-06-08T10:26:15,2025-07-09T14:04:09,2025-07-15T08:59:19
Oil W,SKU0037,TAG0037,Produce scientist yet together human peace.,Furniture,67,8,9bc7168e5b449e4724e64bee,ad669ba4916a75131d3668e9,c5de7c26574ca32e144d9c7e,1ff9189e43a452183e6ca1e1,Available,sale,51.07,953.01,1f950c827c7fdf07f0b6079e,True,412aec04a4418c369d53e169,39d6ac0fd38a19803b98b1cd,2025-06-10T19:51:49,2025-07-09T15:32:19,2025-07-11T09:36:40
Find O,SKU0038,TAG0038,Never soldier start institution stay.,Accessories,68,6,94d6812dd5d85ea1a40409e9,9b83209ba17c34b699669061,fafae1a9c766ea994ad5eb38,a9d2d0b02b243a8ad1f97106,Available,sale,156.85,753.78,ef8e91030defc544cf7e2ba8,True,bd8f56be0f89ee3a5fbc11fd,aab13cf8109f072277c67636,2025-06-04T21:20:40,2025-07-17T07:36:45,2025-07-15T03:08:13
Only H,SKU0039,TAG0039,Trouble would north.,Stationery,78,3,77035bde29b7b4ac3003e9b3,2ec0540be50d2d0808fe7ac0,cd08f8f15e26ec7f45426c64,5db8f7fd220740bd2b76c0e3,Available,sale,69.42,932.83,b36dd162b43deb629c181be0,False,e4e7b684abc35202ff377cfe,5e0d4ac1425fc3276f6a7fa8,2025-05-24T19:39:05,2025-07-08T23:46:37,2025-07-18T00:40:42
Sign R,SKU0040,TAG0040,View fine according sport computer win care.,Clothing,73,2,a28ad75fb2f06a5987a14a9c,1ba2a30ed1b4fea3315e0ac1,9370e4ed0d262b45123b4f10,1c11751ea8f03472f7a59b73,Available,sale,333.88,549.5,c9833686ae33d76bae7c2971,False,5dfb1a296ee8eb9de5815684,b792f3679057899c47cc31dc,2025-05-04T04:38:37,2025-06-26T18:02:06,2025-07-18T02:22:13
Edge W,SKU0041,TAG0041,Any past popular outside name range model.,Electronics,26,4,9331d8fe8239570786ae4b72,456ab198a56c9bc801f765c4,1b5a2d4c60b8fc5fd3672231,11ec5387a1a5e3e4b0c37404,Available,sale,466.77,630.39,d49cbfa995f635e774f6ec46,True,25b5930394e4cb74ba785072,de846f1b40c8e780a8325253,2025-06-12T09:08:26,2025-07-13T23:05:22,2025-07-18T02:27:44
By F,SKU0042,TAG0042,Allow art someone race fill.,Clothing,43,6,2c2fb0fa5194bea4a15a52b6,72447b54e904dc438e9c11d3,5c4453aca9b831b31d0dd42d,02b9428ff022242734aa850f,Available,sale,102.5,974.85,7d7036c34357046c70e0b064,False,0dbf2b737c8f3e134b1a85b3,2a0fd2a6a2e853d5628da415,2025-06-16T18:32:51,2025-06-28T14:01:06,2025-07-12T04:31:25
Start O,SKU0043,TAG0043,Final house person condition soldier.,Clothing,87,3,3abd24e98a93f155a398b897,bf8fec75c012277ccc8cbb46,331fdeabe1d261b2fb6d76cb,63a0b0725c0becc21516ee6f,Available,sale,386.05,878.58,4be7d387fc197a59ab428b13,True,c51f9410784c7e29cbe62b83,a11b2c087f4017638a16e895,2025-05-06T22:33:49,2025-06-25T14:15:29,2025-07-17T16:45:53
Author E,SKU0044,TAG0044,Above thus year.,Accessories,96,8,9b6c3a8a857d0098e8e3d457,6377c11eb0ff7f5768c6d060,b55fb6f60f8c67e329235f0e,5f791ec64248c97f24c2a95b,Available,sale,206.5,523.42,b2e08c6dfe43bc1c4e7cf353,False,e92f925b783fcde1feceb46c,3dc57a1139ceafe8de825539,2025-05-31T13:48:09,2025-06-30T00:30:45,2025-07-10T04:16:29
Measure V,SKU0045,TAG0045,Season whole building public.,Clothing,25,10,745471424d473551a55fc794,5819056cd159a1d73170ab0d,6edad441f128b73ca4d990cd,d375b01ecbc78b2372630f6d,Available,sale,360.12,565.78,40bd6fba180bcbf7ada890c1,False,b438c54f323292ef171ed2b7,d067c8a61f9aa2001081bbf1,2025-05-18T00:29:24,2025-07-02T15:58:18,2025-07-10T16:50:33
Office B,SKU0046,TAG0046,Worry out usually health this.,Accessories,47,9,498ad7aabb96c69779a4af6b,1116f87fc8f899fa828bbbf3,68cdee98d6d516f66cb9b807,18e076e573156cbc1e085265,Available,sale,471.59,732.26,83535b5011e850fe4160bf16,False,d52bd273110327e9805b6955,8196034f3fde8f4d18fc4dd4,2025-05-22T13:50:56,2025-07-01T20:03:24,2025-07-14T22:27:48
Memory W,SKU0047,TAG0047,Few movement institution owner.,Electronics,53,6,a9893a6598d3cc40a048e649,e274c1c5636acad08c6135ca,352c900173a4ceec3a1f7d32,46437e105be3dc8887633996,Available,sale,123.71,923.9,d90800e4299c2d3c1cc039c6,True,cdd9029ab8c8ee60fa03665d,369770bcc9b7fb8fce764450,2025-04-25T05:05:00,2025-07-04T15:08:06,2025-07-16T16:55:04
Forward O,SKU0048,TAG0048,And TV because summer official second.,Clothing,39,7,9318b8738ebf95ceed5b659d,9e99236a32af6c57e2fb0d26,f83445e752177748ac8ebb11,36901de994aadea723959f9c,Available,sale,113.59,577.49,7f06853205ba84706d9a4c39,True,2f395e4f7e5aadb2b95ac6f1,f287d92ed49f4802db874f7c,2025-05-29T13:17:56,2025-07-14T11:40:32,2025-07-13T04:45:17
Miss F,SKU0049,TAG0049,Claim actually member but including collection chance.,Accessories,73,3,518e6d333e5eb0920bdf9788,721c8652a20bf818eb498bc0,9889ba3403123981f14d1bd4,f317924b3a5d1911fd2f8460,Available,sale,147.5,583.92,2732f63285265fc6db3d6a71,False,319ff6356bb133ee66dcde01,81fb5812dc1091864419d2f5,2025-05-18T14:12:16,2025-06-27T18:34:03,2025-07-10T18:22:54
Around L,SKU0050,TAG0050,Couple whom international out personal.,Stationery,7,9,4a50ba1dbd812ebfb7ee9c42,33122656d89c1f74f4477ef3,3bbb1c0157dc5ff5d3bc6fab,f471a2e0866b0c60471e350d,Low Stock,sale,385.49,840.57,51e6825b3c45ff362c425b8f,True,0976c878a010945b76ad3c80,7c1ff93c667e3a04e43bb9e7,2025-05-18T08:23:29,2025-06-22T09:27:46,2025-07-13T15:51:31
For A,SKU0051,TAG0051,Hard boy born way ability chair.,Accessories,41,9,ddea00a499d6fdf76c7fb151,67058ba4748870a21e563ba2,e86418e137a032becd28d973,e2dfea756a8473542fe9c4f1,Available,sale,168.43,549.33,00e400253c50e1e6a522e83d,False,9a82ca5908aa91320d745cb9,52a633923c64dad1665c44ae,2025-05-15T23:17:55,2025-07-16T20:53:38,2025-07-13T11:44:41
Collection Z,SKU0052,TAG0052,Program sound beyond side nation.,Clothing,53,9,fe56612ef3737c4a9f9a9ed8,bdea3f0d6c3a7a57fac030cd,975608de90680cfa999e0424,bf8317111ebda1d758b2b832,Available,sale,423.14,603.93,00a208e98d789a14640b5436,True,842167eb634b46047e6f9e7d,59afa5a51f98ebe8d9712ede,2025-05-07T10:02:45,2025-06-25T07:50:23,2025-07-14T12:04:52
Teach N,SKU0053,TAG0053,World war old expect feel.,Furniture,17,9,4bccff3f8c5d25232e7f07cc,123ad27966bfb8bcd97f06ed,b5e921542b33c290a2c2269f,ec575e899a742cfbbb7c1b84,Available,sale,239.37,605.95,dca794d33d8d73874cc2177e,False,2d16bd2f192b633b82cab144,054e57a4dfad2bd8ea139479,2025-04-30T02:07:12,2025-06-27T05:04:08,2025-07-12T10:58:58
Here P,SKU0054,TAG0054,Huge defense around near across east people.,Accessories,94,4,a9705342eff30d63ea9bcfa9,5bc582698a5a4e07a47ee2bf,695810a4df8dbf735685a2a4,f18d742a10230fa58f0636de,Available,sale,480.85,522.83,f889536efbfa3004909f2c73,False,9d2b24bfae1da8425ba2fbcb,cca3fe09f5c1a6994eceba3c,2025-04-20T04:45:43,2025-06-27T19:16:55,2025-07-14T04:44:33
World F,SKU0055,TAG0055,Week home center sea.,Furniture,85,2,28c64e43144e64929128fff7,b447919cdde9a5dfdc3dd68f,f7b44679ab93549498340e17,912c9874beb1840516063ade,Available,sale,328.14,871.2,46f90180e32e2f974712d80e,False,ebe3c9bf7f19c6fee3a47a2d,7f8f776507d9888b90742980,2025-05-31T02:56:30,2025-07-17T19:04:37,2025-07-18T07:56:43
Republican R,SKU0056,TAG0056,Trade best usually education.,Accessories,46,8,c6585682c8f73e159117bbff,6c7ba56528025ec342ef38fe,272a8491e8d9a7cd143f7603,e14b4aa5f21044c24fc5b15f,Available,sale,433.62,965.68,6840240bb08c3f28be9925f2,False,d1841708f40393cc9079dd05,0d72a7b7030141c1af782fdd,2025-06-02T00:09:06,2025-06-28T04:16:59,2025-07-13T20:48:48
Eye F,SKU0057,TAG0057,Enough appear another.,Furniture,79,7,99679f37e96f04b3bef5210e,9c72952ba8c01ade3f3f38d0,a3a2c6d9059da11d82f4a951,de5f5a68f57ec4b9dc53a8de,Available,sale,82.0,714.02,fb5ca3ef3d45e4928039b4b0,True,39f2a4b2f2ea3c48579fd358,183b112fde8a64f1111fa52c,2025-05-04T18:17:57,2025-06-30T00:44:09,2025-07-15T12:27:16
May F,SKU0058,TAG0058,Friend base drug rich bar I.,Accessories,67,8,387c759f8f7e5272f614cb92,93b0d0a318c63e267db6ee3e,66820c3e86ad783fb424e5d2,d3b1f4b6d960610113aca577,Available,sale,434.48,833.33,0200a04e6c0507177061c9cc,True,6264b99c728c586f21b139f9,4777a17dafb2b429d5d06129,2025-06-02T11:34:29,2025-07-13T22:08:32,2025-07-18T14:43:56
Mouth A,SKU0059,TAG0059,Hold happen great policy.,Electronics,86,3,e91e0ee838b2d58e2573a6cd,2140e8300e99213e774e668e,1c8053d4b4d60835cad1cf6d,731a5328d16530b2e1cf7017,Available,sale,222.9,910.69,dc732d1eda69c071c96b64bb,False,23a0a8d388c689db1702c9e0,83c1c810ba473770bd37d6e2,2025-06-06T11:27:37,2025-07-16T13:33:09,2025-07-13T05:31:40
Glass J,SKU0060,TAG0060,They power cultural forget none.,Stationery,63,8,7bb63502787a76b5e7a12dbf,257eeae0e371df5a171a6dc9,ce54226c7fc21dccefcbe381,8ccc0e55025ff7d5eb96ea37,Available,sale,196.62,973.38,59fa79cc7b47e8440c2047ad,False,60b3eca63f1118972d7dd41d,5e3aabddbcb31b22f167af93,2025-06-05T14:03:04,2025-06-27T00:20:19,2025-07-09T11:53:59
Agency T,SKU0061,TAG0061,Loss whatever story hour ball.,Clothing,53,10,d8d0a294e8bf805247e09d89,08a4b54ae4825b388f906066,fb97a6e60df53e6173474860,b76e721e0999ac425ec4bd25,Available,sale,499.48,851.29,17f5858afb1a4ddc1d490427,False,134e83517c7ba6d7f4792776,e0aefced04d9abee42dcded4,2025-06-14T20:40:25,2025-07-13T13:18:10,2025-07-11T00:23:06
Reach F,SKU0062,TAG0062,Imagine society magazine all.,Accessories,11,9,31977acf0ecf226fb388b5be,69b6e75ae02a73eb0285ecc5,41347b95adfb0f2f44baa367,f30b5b5a4eb4b549966baf42,Available,sale,52.82,910.46,d7bb53c3b937d9af209d8756,False,c2c4f49163a53e9c9f2cab94,482dc06d46122f62e84cf3a3,2025-05-25T14:26:22,2025-07-14T14:33:34,2025-07-17T13:06:51
Market T,SKU0063,TAG0063,Collection fact leg occur draw first wife contain.,Accessories,68,9,b9dc4a19ca0f0ce1cadaeb1f,21ae27dd5e27a8a4e45fe33f,cbb12ec7d9bcadf2392826d4,64a54e8d509f74664fdca1b3,Available,sale,242.54,993.38,a7d7a582cd3e7d9e7441cf1e,True,0c6e861f0cc96511c214edbb,ad15f56ab107bacfc6e18c27,2025-05-19T14:14:22,2025-07-13T17:24:06,2025-07-09T09:08:35
Mouth J,SKU0064,TAG0064,Help strategy audience report color.,Electronics,33,7,73e370d303463e227ac17d86,2f343f41a204c77701698d02,db4017c57069b4125c2da34d,9b2120fca2eb6a833f8fb318,Available,sale,60.75,540.04,026978379031010ed3723f21,False,c2d54837acaec6f8b7d47469,34851d722b063bb5493e4989,2025-05-01T10:33:15,2025-07-11T10:11:54,2025-07-14T11:07:55
Government T,SKU0065,TAG0065,Woman part look score to real.,Accessories,95,6,294569de89ddc68135eff843,18d362525bb470a39cd6f052,01735aa56d2670c4714dd158,517934d52e0698b0af2dae0d,Available,sale,326.79,944.13,4edcba488d5ede78acc9fac1,True,6500747ffebe0a397234e5c1,1325bd2c16732903406006fd,2025-06-09T06:16:26,2025-07-10T15:15:05,2025-07-10T09:29:07
